fuente,ciudad,fecha,especie,localidad_zona,barrio,evento,atenciones,caninos,felinos,maltrato_atendidos,maltrato_aprehendidos,urgencias,microchip,castrados,potencialmente_peligroso
CALI_ADOPTADOS,CALI,2024-01-04,OTRO,CORREGIMIENTO,COSTA RICA,ADOPCION,1,0,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-04,OTRO,CORREGIMIENTO,COSTA RICA,ADOPCION,1,0,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-01-04,OTRO,CORREGIMIENTO,COSTA RICA,ADOPCION,1,0,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-02-04,CANINO,1,LA BUITRERA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-02-04,CANINO,17,EL INGENIO 3,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-02-04,CANINO,10,SAMANES DE GUADALUPE,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-02-04,CANINO,10,SAMANES DE GUADALUPE,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-04,FELINO,10,EL JARDIN,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-04,FELINO,18,NAPOLES,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-04,CANINO,19,ALTOS DEL REFUGIO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-05-04,FELINO,8,LA FLORESTA,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-08-04,CANINO,20,LA REFORMA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-09-04,CANINO,10,CIUDAD CORDOBA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-09-04,CANINO,19,NUEVA TEQUENDAMA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-09-04,FELINO,20,BRISAS DE BELLA SUIZA,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-09-04,CANINO,10,CRISTOBAL COLON,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-10-04,FELINO,10,PANAMERICANO,ADOPCION,1,0,1,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-10-04,CANINO,6,GUADUALES,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-10-04,CANINO,22,BOCHALEMA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-11-04,CANINO,18,MELENDEZ,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-11-04,CANINO,15,BOCHALEMA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-11-04,CANINO,18,PRADOS DEL SUR,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-11-04,CANINO,22,CIUDAD JARDIN,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-11-04,CANINO,SIN_DATO,MEDELLIN,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-14,CANINO,17,CANEY,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-14,CANINO,17,EL INGENIO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-14,CANINO,17,LA HACIENDA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-14,CANINO,17,INGENIO,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-16,CANINO,7,LA SELVA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-16,CANINO,21,PIZAMOS,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-16,CANINO,21,PIZAMOS,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-16,CANINO,MUNICIPIO,BONANZZA,ADOPCION,1,1,0,0,0,0,0,0,0
CALI_ADOPTADOS,CALI,2024-04-16,FELINO,19,BELLA SUIZA,ADOPCION,1,0,1,0,0,0,0,0,0
